Identificador único del municipio,Clave de entidad federativa,Entidad federativa,Clave de municipio o delegación,Municipio o delegación,Estimador_x,Porcentaje de población de 20 años y más con obesidad.,Porcentaje de población de 20 años y más con diagnóstico previo de hipertensión.,Porcentaje de población de 20 años y más con diagnóstico previo de diabetes.,Municipio,Estimador_y,Ingreso Corriente Promedio Trimestral por Hogar 2020,Codigo,Total,municipio,entidad,Big,Medium,Small,Total_Pharmacies,Pharmacy_Density_per_100k,CVEGEO,Big_Pharmacy_Ratio,Medium_Pharmacy_Ratio,Total_Trimestral_Income,Income_per_Big_Pharmacy
15124,15.0,MÉXICO,124.0,San José del Rincón,Valor,30.05529478638746,14.55784412256628,8.101248296396312,SAN JOSÉ DEL RINCÓN,Valor,26005.1735138645,15 124,100082,SAN JOSÉ DEL RINCÓN,MÉXICO,1.0,5.0,4.0,10.0,9.991806718490839,15.0124.0,0.9991806718490837,4.995903359245419,2602649775.614587,26026.49775614587
24050,24.0,SAN LUIS POTOSÍ,50.0,Villa de Reyes,Valor,34.217162883012584,15.389575936349955,9.373867127851842,VILLA DE REYES,Valor,44068.6372650679,24 050,52912,VILLA DE REYES,SAN LUIS POTOSÍ,1.0,12.0,9.0,22.0,41.57846991230723,24.050.0,1.8899304505594194,22.679165406713032,2331759734.9692726,23317.597349692725
19041,19.0,NUEVO LEÓN,41.0,Pesquería,Valor,44.46663176321766,14.855030970749079,9.09191500750872,PESQUERÍA,Valor,54868.3319927342,19 041,147624,PESQUERÍA,NUEVO LEÓN,4.0,4.0,4.0,12.0,8.128759551292472,19.041.0,2.709586517097491,2.709586517097491,8099882642.095394,20249.706605238487
19012,19.0,NUEVO LEÓN,12.0,Ciénega de Flores,Valor,45.95321763708224,17.15094438496555,9.885962362579527,CIÉNEGA DE FLORES,Valor,58706.4895939483,19 012,68747,CIÉNEGA DE FLORES,NUEVO LEÓN,2.0,2.0,6.0,10.0,14.546089283896023,19.012.0,2.909217856779205,2.909217856779205,4035895040.115164,20179.47520057582
13052,13.0,HIDALGO,52.0,San Agustín Tlaxiaca,Valor,33.785846661670945,17.348032388347512,12.050230219246474,SAN AGUSTÍN TLAXIACA,Valor,39188.9674975533,13 052,38891,SAN AGUSTÍN TLAXIACA,HIDALGO,1.0,6.0,2.0,9.0,23.14160088452341,13.052.0,2.571288987169268,15.427733923015607,1524098134.9473453,15240.981349473452
07077,7.0,CHIAPAS,77.0,Salto de Agua,Valor,20.29930681563515,14.436439818041398,6.876683761404516,SALTO DE AGUA,Valor,23145.4249254831,07 077,64251,SALTO DE AGUA,CHIAPAS,1.0,6.0,1.0,8.0,12.451168075205054,7.077.0,1.5563960094006317,9.33837605640379,1487116696.8872147,14871.166968872147
30058,30.0,VERACRUZ DE IGNACIO DE LA LLAVE,58.0,Chicontepec,Valor,31.06246548426132,29.41673408517501,12.696947694171131,CHICONTEPEC,Valor,27347.9800340827,30 058,53858,CHICONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,1.0,7.0,6.0,14.0,25.99428125812321,30.058.0,1.8567343755802297,12.997140629061604,1472907508.675626,14729.07508675626
16083,16.0,MICHOACÁN DE OCAMPO,83.0,Tancítaro,Valor,33.87199329273688,15.793627128934482,8.53568392636668,TANCÍTARO,Valor,41627.6069438533,16 083,33453,TANCÍTARO,MICHOACÁN DE OCAMPO,1.0,6.0,7.0,14.0,41.849759363883656,16.083.0,2.98926852599169,17.935611155950138,1392568335.0927246,13925.683350927246
10039,10.0,DURANGO,39.0,Nuevo Ideal,Valor,40.33764509158674,20.685375246363662,10.244488231122874,NUEVO IDEAL,Valor,48809.0642797607,10 039,27981,NUEVO IDEAL,DURANGO,1.0,7.0,5.0,13.0,46.46009792359101,10.039.0,3.5738536864300774,25.016975805010546,1365726427.6119843,13657.264276119842
01007,1.0,AGUASCALIENTES,7.0,Rincón de Romos,Valor,31.74328816356314,14.33667404022898,6.895364594781293,RINCÓN DE ROMOS,Valor,46594.358094103,01 007,57369,RINCÓN DE ROMOS,AGUASCALIENTES,2.0,7.0,6.0,15.0,26.146525126810648,1.07.0,3.4862033502414196,12.20171172584497,2673071729.500595,13365.358647502975
